Review,Output,
"When I try to log in, it says my password is incorrect.",[{'Incorrect password error': ['Try to log in']}],1
The app crashes every time I open the settings.,[{'App crashes': ['Open the settings']}],1
I can't upload my profile picture; it always fails.,[{'Profile picture upload fails': ['Upload my profile picture']}],1
The app freezes when I try to send a message.,[{'App freezes': ['Send a message']}],1
I get an error when I attempt to update my account details.,[{'Error updating account details': ['Update my account details']}],1
The payment fails whenever I try to purchase a subscription.,[{'Payment fails': ['Purchase a subscription']}],1
The search function doesn't return any results.,[{'No search results': ['Use the search function']}],1
I can't add items to my cart.,[{'Unable to add items to cart': ['Add items to cart']}],1
The app doesn't load past the splash screen.,"[{""App doesn't load"": ['Open the app']}]",1
I get logged out automatically after a few minutes.,[{'Automatic logout': ['Use the app']}],1
My location is not detected when I try to share it.,[{'Location not detected': ['Share my location']}],1
Notifications are not showing up for new messages.,[{'Notifications not showing': ['Receive new messages']}],1
The app shows a blank screen when I try to open my messages.,[{'Blank screen on messages': ['Open my messages']}],1
I can't connect my social media accounts.,[{'Unable to connect social media accounts': ['Connect social media accounts']}],1
The video player doesn't start.,"[{""Video player doesn't start"": ['Play a video']}]",1
The app doesn't save my preferences.,[{'Preferences not saved': ['Save my preferences']}],1
I can't reset my password.,[{'Unable to reset password': ['Reset my password']}],1
The app crashes when I receive a call.,[{'App crashes': ['Receive a call']}],1
The chat history is not loading.,[{'Chat history not loading': ['View chat history']}],1
I can't change my profile name.,[{'Unable to change profile name': ['Change my profile name']}],1
The app freezes on the loading screen.,[{'App freezes': ['Open the app']}],1
I get an error message when I try to download files.,[{'Error downloading files': ['Download files']}],1
The app doesn't sync my calendar.,[{'Calendar not syncing': ['Sync my calendar']}],1
I can't join any groups.,[{'Unable to join groups': ['Join groups']}],1
The app won't let me delete my account.,[{'Unable to delete account': ['Delete my account']}],1
The screen goes black during video calls.,[{'Black screen during video calls': ['Make a video call']}],1
I can't send photos in the chat.,[{'Unable to send photos': ['Send photos in the chat']}],1
The app doesn't remember my login details.,[{'Login details not remembered': ['Log in']}],
The notifications are delayed.,[{'Notifications delayed': ['Receive notifications']}],
The app crashes when I try to open notifications.,[{'App crashes': ['Open notifications']}],
The app logs me out when I change settings.,[{'App logs out': ['Change settings']}],
I can't link my payment method.,[{'Unable to link payment method': ['Link payment method']}],
The app doesn't show my friends list.,[{'Friends list not showing': ['View friends list']}],
The music player stops randomly.,[{'Music player stops randomly': ['Play music']}],
I can't block users.,[{'Unable to block users': ['Block users']}],
The app freezes when I receive a message.,[{'App freezes': ['Receive a message']}],
I can't use voice commands.,[{'Voice commands not working': ['Use voice commands']}],
The app doesn't apply my discount code.,[{'Discount code not applied': ['Apply discount code']}],
I get an error when I try to post a comment.,[{'Error posting comment': ['Post a comment']}],
The app doesn't load images.,[{'Images not loading': ['View images']}],
I can't access my saved articles.,[{'Unable to access saved articles': ['Access saved articles']}],
The app crashes when I play games.,[{'App crashes': ['Play games']}],
I can't send friend requests.,[{'Unable to send friend requests': ['Send friend requests']}],
The app doesn't update my profile information.,[{'Profile information not updated': ['Update profile information']}],
I get an error message when I try to log out.,[{'Error logging out': ['Log out']}],
The app doesn't recognize my voice.,[{'Voice recognition not working': ['Use voice commands']}],
I can't add tags to my posts.,[{'Unable to add tags': ['Add tags to posts']}],
The app crashes during video playback.,[{'App crashes': ['Play a video']}],
I can't view notifications.,[{'Unable to view notifications': ['View notifications']}],
The app doesn't show my activity log.,[{'Activity log not showing': ['View activity log']}],
I can't mute conversations.,[{'Unable to mute conversations': ['Mute conversations']}],
The app freezes during login.,[{'App freezes': ['Log in']}],
I get an error when I try to change my password.,[{'Error changing password': ['Change my password']}],
The app doesn't sync with my contacts.,[{'Contacts not syncing': ['Sync with contacts']}],
I can't turn off notifications.,[{'Unable to turn off notifications': ['Turn off notifications']}],
The app doesn't show my messages.,[{'Messages not showing': ['View messages']}],
I can't share posts.,[{'Unable to share posts': ['Share posts']}],
The app crashes when I try to upload a file.,[{'App crashes': ['Upload a file']}],
I get logged out when I close the app.,[{'Logged out when closing the app': ['Close the app']}],
The app doesn't apply my theme settings.,[{'Theme settings not applied': ['Apply theme settings']}],
I can't comment on posts.,[{'Unable to comment on posts': ['Comment on posts']}],
The app doesn't show my bookmarks.,[{'Bookmarks not showing': ['View bookmarks']}],
I can't connect my email.,[{'Unable to connect email': ['Connect email']}],
The app crashes when I open the gallery.,[{'App crashes': ['Open the gallery']}],
I can't set reminders.,[{'Unable to set reminders': ['Set reminders']}],
The app doesn't send verification codes.,[{'Verification codes not sent': ['Request verification code']}],
I can't see who's online.,"[{""Unable to see who's online"": ['Check online status']}]",
The app crashes when I try to edit photos.,[{'App crashes': ['Edit photos']}],
I can't delete chat messages.,[{'Unable to delete chat messages': ['Delete chat messages']}],
The app doesn't show my notifications.,[{'Notifications not showing': ['View notifications']}],
I can't view my payment history.,[{'Unable to view payment history': ['View payment history']}],
The app crashes when I try to sync data.,[{'App crashes': ['Sync data']}],
I can't download attachments.,[{'Unable to download attachments': ['Download attachments']}],
The app doesn't update my status.,[{'Status not updated': ['Update status']}],
I can't view my followers.,[{'Unable to view followers': ['View followers']}],
The app crashes when I open the news feed.,[{'App crashes': ['Open the news feed']}],
I can't save my progress in games.,[{'Unable to save progress': ['Save progress in games']}],
The app doesn't apply my privacy settings.,[{'Privacy settings not applied': ['Apply privacy settings']}],
I can't upload videos.,[{'Unable to upload videos': ['Upload videos']}],
The app freezes when I try to call someone.,[{'App freezes': ['Call someone']}],
I can't see my recent activity.,[{'Unable to see recent activity': ['View recent activity']}],
The app doesn't mark my messages as read.,[{'Messages not marked as read': ['Read messages']}],
I can't invite friends to events.,[{'Unable to invite friends': ['Invite friends to events']}],
